address,symbol,name,decimals,total_supply,block_number
0x203ccf4a405f4ed72d2ae700d9b1899e9f9af1e1,☃,ETHDEMO,4,10000000000,
0x200450f06520bdd6c527622a273333384d870efb,,,1,1250001619314660000000,
0xef2f1b5126cf87fa5942f46d776a539f1894baaa,,,,20521348861614,
0xd22be95a5f08fceb5507769c8adccc2be055cf8e,E,My D2,2,200000,
0x569348f5204f0491a137c0b8bd5b0ab72c5a659c,NEWB,Newbium,0,49000000,
0xff95fbb77852c846724ce4fa140ca25f31a90bb0,ROUND,ROUND,18,1000000000000000000000000000,
0x45ce4512de50cb0c8d0b90030236d12c111dcea7,#,bluadwiesn.at,2,,
0xa3151a4c5137d035d727859039f97244ac2f97be,ć,C Coin,2,,
0x19e71b2a3ec074e9f6b2b34333cfccf4e3dd05b3,BCDN001,BCDN001,16,0,
0x5eebdca5c7ccbd770c4825f97dc46f68e59a31a1,%,SCSHARES,2,,
0x9d49b41a5fc73311885716043546c10dd4c5d372,TOY,Toybox,0,100000,
0x5c6e67ccd5849c0d29219c4f95f1a7a93b3f5dc5,,,1,746359658653057000000,
0xccbe8e7dde1a54e1d542117b4639dbca05d3cd00,KRZ,Kraze,8,,
0xc446477e8a5da5d114a08a2b097cf922ed7b08a8,AA,Asset A,0,,
0xdf5f4680797a9280f452325f70ef7200f676f11f,DFS,DAO Factory Shares,0,10000,
0x4508e985f66517d72065da4c5c60de3c94f1c9c3,%,streamcoin,2,,
0xc0beeebef72d75842e75929c8f6c1b19f3dea23d,,,0,1001,
0xf3d29fb98d2dc5e78c87198deef99377345fd6f1,BIP,BITPARK,8,10000000000000000,
0x89cedd4a7e830ad3a33b161487c4501b24dbb159,%,MyGDAO,2,,
0x542a9515200d14b68e934e9830d91645a980dd7a,,,1,12548783143344600000000,
0xf87840900718e5b2b161d16fc06ad55265b57237,Rz,ReZ,10,1000,
0x00af5860704c69ecf3dafbef4dd62fe0f284fe34,%,Pan-African Dinar,2,200000000,
0x88f99761754c7c2d866c548ba65fadcbc4a84dd8,,,,,
0xa4ec4a51aa00430a752eb37206d47263b5fc657a,,,,250000000000000,
0xc8d822438d7777ed36c96fa817cac8a5229ee2d2,SCDT,SwissCoastDaoToken,2,100000,
0x35a051a0010aba705c9008d7a7eff6fb88f6ea7b,,,1,15276059789372400000,
0x56099e6ec5e7fbcc1c5e7343babe1a2c649e5ace,$,逍遥股,4,,
0x45ccf64e195c6a253a5354b8df0916e54322a463,STUT,Steemit Up Token,18,100,
0xd0c65c2098ffab73592900a511faeb6f8ec6732e,🜎,PhiliCoin,2,,
0x5a213a69cdaccd9d8ffc770d0c8b3678056fd27c,MARISAS,MARISA,10,1000000,
0x90c9860b053f79442e08ac55bc689b0db669fe4f,$wind,windaandeel,,,
0x059cfa8630065eaef7db234745407c9b5175e0c7,,,,,
0xb35028c75971d54d47ea0262aa9434c384e5dcd1,%,TTMCoin,2,,
0x31eddd9732e2f47dd7da3a2d88d4c2b3e150e0ee,$,Athos Coin,2,,
0xf658b4f4dfcbee03975b3295282bf8fa03672583,OO,OOToken,2,0,
0x28f9eece184ddf04f93c6bd8977924f7f62308bd,,,,,
0x4f50cc441a759e4f123d847cd5ea18e6ad04b43e,Ԩ,Hashcoin,0,,
0x972e21a7047a289bec59673a5015eeb16884a75f,TCS,TestCoins,4,1000000,
0xd2604bfc81ee6bf2b01a42e3f052ee8de741b7d2,%,Test Contract,2,10000,
0xb2ea137dd4da22f3b4b269fb9a5349d46d70eabd,Au,Gold Bar,0,,
0xd82a1b174822778dfaa385529468577b700749a1,AI,AI,0,,
0x6d4de8732d6d059decaabea0e792a28668d5dba4,DCT,DianstyCoinToken,6,,
0x409af1ea553d377d01af943d86b2309ee3a65039,GLY,GLYCASH,8,100000000000000000,
0x26d507675a7dcbd7214b156d959351558386aa3b,BS,Black Swan,0,,
0x8e13c73674f1f88c8f1485ea46dedeff24af3ca4,♂₡☿,Cooperate.Center Coin,0,108000001,
0xb2b64e8952ee198738e485c1de490019ee9a720c,D,Dinar,0,,
0xb5dccc207bf104a1ac5390033231f59250923fcd,ZP,Zoop,0,1000000,
0x448fae87f7f5b58c6f215abd53d5cd8125e733c5,,,0,5000000000000,
0x0cb10aac70598245491c920d6c84884bd9409148,NxC,Nexium,3,,
0xf1e68897c6fe2acd54096fd694da03a6a403bbef,%,My DAO Shares,0,,
0x80577b301a7dc1effd0beec59e18b2b6046ac3d1,BAUTEST,BAU Test,9,1000000,
0xdb9b352d66428854fe35a170b23176a4e95d6fa9,EXT,EXT,0,500000000,
0xb6c0a530020d33ced7b9cd0178ee952323d4dbf1,,,,,
0xb7d533ea6aa3d25b70db67e65daf24df256e62bf,༅,PewCoin,2,,
0xda0bf6b712adfbbabf3b2bb9f36856e6ae665525,AA,Asset A,0,,
0x9f982e69b52df06ad5977de6a09c0db8fa559931,LOW,LowCoin,8,10000000000000000,
0xb636a8e7ec2df90e6e6e5b6c59c575f4ad64c3e4,BCDN,BlockCDN,16,104750594414062500,
0x5a6c04f658f108a560db20dc920b80c9e26b1d96,D,Drago,0,,
0x2c19c7f9ae8b751e37aeb2d93a699722395ae18f,,,1,798519214441755701,
0x836f3d4f90e16abcca5a2ae32734fec7851861dc,%,Tester,2,,
0x9d98635cbfd346de74b4ad234382adc2aa73ddd4,,,,1000000000,
0x3ad4dd43f9732608184d0401d8769c2ab75bdd91,%,DAO Shares,2,10000,
0x4c286d0dc2c994e73a6fcd08c7e42dc01713f167,OSM,One  Struggle More,4,900000000,
0x2608d318f2a76a0a4c3b9b3be03c4af97e9353ae,AA,Asset A,0,,
0xbb44a50a9956315981f55c14f9319452dce4684d,HPT,Hot Potatoe,0,1,
0xde5b7296281fb0c0a0af02db7ef38f7530150b22,$,Squanch,2,991000000,
0xe68ca4cb6749e484332d6881137ffaf87f263631,,,8,297000000,
0x70f6320f7269811a217d900cb0483dd7735cf782,eRMB,eRMB,2,,
0xd2b0fb4a6c87c40c4b0d6d6b81e0f2db9d45df3e,%,FirstTokenYo,2,,
0xe82ff289b310b9a3a0652c46f8835d533c5a9bf4,BT3,Beta3,1,,
0xb2ae29ba0726bcbac2834544a653ac2cd1992bc2,VTT,Virtual Test Token,0,10000,
0x339c348005ef191b326d67c3d980f0afa4c7575d,$LVS,Aquarius Funds Shares,4,1000000,
0x9e780659b907bb998ccad6b1100cec5f260acfc6,M@,Malk,2,6000,
0xc5bd82abc2cdc631ed4cc7c5cbb6d1246b3c18e0,TCFX,TCFX,8,10000000000000,
0x61f17f02205d81bd875d2f767ed84c741e5cfb44,,,,1000000000,
0x59b29a7adcfd6857c2a78797202b93350a310845,,,0,5013948487271435078,
0xe5dcc8e014264acda205f68adc207af901b5cc37,,,,1000000000,
0x02e815899482f27c899fb266319de7cc97f72e87,SCJ,Smart Contract Japan Token,8,10000,
0x3b72c6a128fe912261a7b3f53c4ddb74667ab2a8,FT,Ftest2,2,211,
0x19e5d4e6034137ecadd73f06273473eb2a54e045,BT5,Beta5,0,,
0x1adb373518eaaf381b6439ed7bece0555111373a,D,Dinar,0,,
0x906cf48e892e85d881c1be6cecdb0f925cb83265,β,WillCoins,2,1000,
0x682f8c55eaedc7d1cb6b4318263e196ead0fc57f,GHF,GateHub Fifth test token,8,2100000000000000,
0xe6ee69495b571e1042f760d7f34009164aff87a2,,,,,
0xf2b727d87272337ab84f7c80d5b4396a4e73dcfb,MBC,MebCoin,0,1000000000,
0x5c9eec5228339cce3e888bc5fcc932dbf470ee79,%,TonyKentToken,2,1000000,
0x46dc30575c256db994535f313447361f60b1ffd1,%,AppIslands,2,,
0x96f943853a29b3fd228c2d67e8f60000b82a2814,BFDT,BFD tester,2,8000000000,
0x8e653c0b5b54bd5db56376d7943b390286235c1f,Punten,Panta Rhei (test 0.4.1),0,60,
0xb84005872b407999a4a97f91d5ef40baaf1b9dc2,,,,,
0x8105e4d66dea58e5f0cb706baaeed63ce7308842,BCDN006,BCDN006,12,100000000000000000,
0x8a349e2e714c55ea680db515221899f7ee86b513,H2O,Water,0,,
0x3e11e52b136d12e0344d4d415897bfb755991fd3,,,,,
0xbdec3312abc8dbcc73176344ddf11de2fc0e1808,KRZ,Kraze,8,,
0x9ffd480250b8ae3db8172db79b3e1a33cef2db21,VCY,velocity,4,,
0xb49ec58e1267378d37cc03704833f44ccb59890e,Ag,Silver,0,,
